page_url,title,sub_question_id,sub_question_label,active,median
/questions/11379/2024-democrat-nominee-for-us-prez/,Who will be the Democratic nominee for the 2024 US Presidential Election?,13539,Gretchen Whitmer,OPEN,0.01
/questions/11379/2024-democrat-nominee-for-us-prez/,Who will be the Democratic nominee for the 2024 US Presidential Election?,11705,Pete Buttigieg,OPEN,0.01
/questions/11379/2024-democrat-nominee-for-us-prez/,Who will be the Democratic nominee for the 2024 US Presidential Election?,11706,Gavin Newsom,OPEN,0.03
/questions/11379/2024-democrat-nominee-for-us-prez/,Who will be the Democratic nominee for the 2024 US Presidential Election?,5712,Joe Biden,OPEN,0.91
/questions/11379/2024-democrat-nominee-for-us-prez/,Who will be the Democratic nominee for the 2024 US Presidential Election?,18362,Dean Phillips,OPEN,0.004
/questions/11379/2024-democrat-nominee-for-us-prez/,Who will be the Democratic nominee for the 2024 US Presidential Election?,11710,Stacy Abrams,OPEN,0.001
/questions/11379/2024-democrat-nominee-for-us-prez/,Who will be the Democratic nominee for the 2024 US Presidential Election?,11709,Michelle Obama,OPEN,0.005
/questions/11379/2024-democrat-nominee-for-us-prez/,Who will be the Democratic nominee for the 2024 US Presidential Election?,11707,Bernie Sanders,OPEN,0.002
/questions/11379/2024-democrat-nominee-for-us-prez/,Who will be the Democratic nominee for the 2024 US Presidential Election?,11712,Alexandria Ocasio-Cortez,OPEN,0.002
/questions/11379/2024-democrat-nominee-for-us-prez/,Who will be the Democratic nominee for the 2024 US Presidential Election?,19369,Cenk Uygur,OPEN,0.001
/questions/11379/2024-democrat-nominee-for-us-prez/,Who will be the Democratic nominee for the 2024 US Presidential Election?,16526,Robert F. Kennedy Jr.,OPEN,0.001
/questions/11379/2024-democrat-nominee-for-us-prez/,Who will be the Democratic nominee for the 2024 US Presidential Election?,11703,J. B. Pritzker,OPEN,0.006
/questions/11379/2024-democrat-nominee-for-us-prez/,Who will be the Democratic nominee for the 2024 US Presidential Election?,11704,Kamala Harris,OPEN,0.04
/questions/11379/2024-democrat-nominee-for-us-prez/,Who will be the Democratic nominee for the 2024 US Presidential Election?,11711,Elizabeth Warren,OPEN,0.005
/questions/11379/2024-democrat-nominee-for-us-prez/,Who will be the Democratic nominee for the 2024 US Presidential Election?,15265,Marianne Williamson,OPEN,0.001
/questions/11379/2024-democrat-nominee-for-us-prez/,Who will be the Democratic nominee for the 2024 US Presidential Election?,11708,Hillary Clinton,OPEN,0.002
